Layer,Position,harmful_refusal_rate,harmless_mean_KL,count,pareto,nr_harmful_refusal,nr_harmless_kl,composite
layer_17,-1.0,0.6060606060606061,0.32711303645738754,149,True,0.6122448979591836,0.0739547555790545,0.6861996535382381
layer_17,0.0,0.9595959595959596,0.3704882786234384,149,True,0.9693877551020407,0.08600585896073229,1.0553936140627729
layer_17,1.0,0.9090909090909091,1.53042083681554,149,True,0.9183673469387754,0.4082741963001317,1.3266415432389072
layer_18,-2.0,0.36363636363636365,0.3382287611440196,149,True,0.36734693877551017,0.07704307833349705,0.4443900171090072
layer_18,-1.0,0.0,0.4961853035631813,149,True,0.0,0.1209287266307087,0.1209287266307087
layer_18,0.0,0.9494949494949495,0.08468597625377157,149,True,0.9591836734693877,0.0066003520267758214,0.9657840254961635
layer_18,1.0,0.98989898989899,3.660205074697459,149,True,1.0,1.0,2.0
layer_4,-2.0,0.9696969696969697,0.10642166001722506,149,True,0.9795918367346939,0.012639257149243337,0.9922310938839372
layer_4,-1.0,0.0707070707070707,1.675078125,149,True,0.07142857142857142,0.44846486378160394,0.5198934352101754
layer_4,0.0,0.9090909090909091,0.908076171874045,149,True,0.9183673469387754,0.2353658845140207,1.1537332314527962
layer_4,1.0,0.6363636363636364,0.0970904572308575,149,True,0.6428571428571428,0.010046734690845879,0.6529038775479886
layer_5,-2.0,0.6868686868686869,0.703417968749418,149,True,0.693877551020408,0.17850494171348286,0.8723824927338909
layer_5,-1.0,0.0,1.37890625,149,True,0.0,0.3661783402687989,0.3661783402687989
layer_5,0.0,0.98989898989899,1.4673242194435443,149,True,1.0,0.39074383056584583,1.390743830565846
layer_5,1.0,0.9797979797979798,0.596523434389211,149,True,0.9897959183673468,0.1488060392939958,1.1386019576613426
layer_6,-2.0,0.16161616161616163,0.23510254043132478,149,True,0.16326530612244897,0.04839114038205625,0.2116564465045052
layer_6,-1.0,0.050505050505050504,0.25485351260710787,149,True,0.0510204081632653,0.053878625769868085,0.10489903393313338
layer_6,0.0,0.9797979797979798,0.7737597669101336,149,True,0.9897959183673468,0.19804826272694745,1.1878441810942943
layer_6,1.0,0.4444444444444444,0.20920166227027268,149,True,0.44897959183673464,0.041195003950122225,0.49017459578685685
layer_7,-2.0,0.9595959595959596,0.5573193370178887,149,True,0.9693877551020407,0.13791382044254813,1.1073015755445887
layer_7,-1.0,0.0,0.7430078126404487,149,True,0.0,0.18950433394209193,0.18950433394209193
layer_7,0.0,0.9797979797979798,0.44376464966670426,149,True,0.9897959183673468,0.10636450317293077,1.0961604215402776
layer_7,1.0,0.8080808080808081,0.12994629110215272,149,True,0.8163265306122448,0.019175192098839628,0.8355017227110845
layer_8,-2.0,0.0,0.5745605476663616,149,True,0.0,0.14270400953600876,0.14270400953600876
layer_8,-1.0,0.0,0.6114306665582171,149,True,0.0,0.15294777054510048,0.15294777054510048
layer_8,0.0,0.98989898989899,0.7224633807968017,149,True,1.0,0.1837963987306223,1.1837963987306224
layer_8,1.0,0.0,1.030905764093343,149,True,0.0,0.26949208278393244,0.26949208278393244
layer_9,-2.0,0.0,0.7753906252942011,149,True,0.0,0.1985013701219917,0.1985013701219917
layer_9,-1.0,0.0,1.5722265631839878,149,True,0.0,0.41988923532362826,0.41988923532362826
layer_9,0.0,0.9696969696969697,0.3039761349046357,149,True,0.9795918367346939,0.0675265449542814,1.0471183816889753
layer_9,1.0,0.0,1.772343751005303,149,True,0.0,0.47548853110745337,0.47548853110745337
